year,country,purpose,mode,duration,age,visits_thousands,nights_thousands,expenditure_millions,cluster_group
2002,USA,Holiday,Sea,8-14 nights,0-15,1.8,5.31,0.07,smaller spenders
2002,USA,Holiday,Tunnel,4-7 nights,25-34,0.47,2.32,0.12,smaller spenders
2002,USA,Holiday,Tunnel,4-7 nights,45-54,0.47,0.46,0.02,smaller spenders
2002,USA,Holiday,Tunnel,4-7 nights,55-64,0.45,1.36,0.08,smaller spenders
2002,USA,Holiday,Tunnel,8-14 nights,25-34,0.47,3.71,0.08,smaller spenders
2002,USA,Holiday,Tunnel,8-14 nights,45-54,0.94,3.25,0.33,smaller spenders
2002,USA,Holiday,Tunnel,8-14 nights,55-64,0.47,0.52,0.01,smaller spenders
2002,USA,Holiday,Tunnel,8-14 nights,65+,0.45,4.52,0.39,smaller spenders
2002,USA,Business,Air,1-3 nights,35-44,1.04,3.1,0.72,smaller spenders
2002,USA,Business,Air,1-3 nights,45-54,0.44,1.32,0.14,smaller spenders
2002,USA,Business,Air,4-7 nights,25-34,2.09,8.79,2.65,smaller spenders
2002,USA,Business,Air,4-7 nights,35-44,0.75,2.29,0.25,smaller spenders
2002,USA,Business,Air,4-7 nights,45-54,2.49,9.88,1.39,smaller spenders
2002,USA,Business,Air,4-7 nights,55-64,0.72,3.08,0.21,smaller spenders
2002,USA,Business,Air,4-7 nights,65+,3.53,15.41,1.18,smaller spenders
2002,USA,Business,Air,8-14 nights,25-34,1.18,5.62,0.37,smaller spenders
2002,USA,Business,Air,8-14 nights,45-54,0.25,0.86,0.03,smaller spenders
2002,USA,Business,Air,15+ nights,35-44,1.25,10.56,0.28,smaller spenders
2002,USA,Business,Air,15+ nights,45-54,1.89,29.82,4.42,smaller spenders
2002,USA,Business,Air,15+ nights,55-64,0.61,3.09,0.04,smaller spenders
2002,USA,VFR,Air,1-3 nights,16-24,1.63,4.92,0.14,smaller spenders
2002,USA,VFR,Air,4-7 nights,25-34,0.44,1.79,0.32,smaller spenders
2002,USA,VFR,Air,4-7 nights,35-44,0.47,3.3,0.66,smaller spenders
2002,USA,VFR,Air,4-7 nights,45-54,2.02,10.82,0.55,smaller spenders
2002,USA,VFR,Air,4-7 nights,55-64,1.05,6.07,0.36,smaller spenders
2002,USA,VFR,Air,4-7 nights,65+,0.38,2.66,0.22,smaller spenders
2002,USA,VFR,Air,8-14 nights,0-15,1.46,4.53,0.16,smaller spenders
2002,USA,VFR,Air,8-14 nights,25-34,2.08,21.42,0.75,smaller spenders
2002,USA,VFR,Air,8-14 nights,35-44,1.63,22.96,0.97,smaller spenders
2002,USA,VFR,Air,8-14 nights,45-54,0.61,4.77,0.07,smaller spenders
2002,USA,VFR,Air,8-14 nights,55-64,5.14,41.44,1.58,medium spenders
2002,USA,VFR,Air,8-14 nights,65+,3.93,7.92,1.38,smaller spenders
2002,USA,VFR,Air,15+ nights,25-34,0.29,10.7,0.12,smaller spenders
2002,USA,VFR,Air,15+ nights,35-44,2.03,25.93,7.31,medium spenders
2002,USA,VFR,Air,15+ nights,55-64,2.96,53.53,3,smaller spenders
2002,USA,VFR,Air,15+ nights,65+,0.82,5.03,0.22,smaller spenders
2002,USA,Study,Air,15+ nights,16-24,0.23,0.25,0.02,smaller spenders
2002,USA,Study,Air,15+ nights,35-44,0.48,1.03,0.07,smaller spenders
2002,USA,Study,Tunnel,15+ nights,16-24,0.9,2.26,0.12,smaller spenders
2002,USA,Other,Air,1-3 nights,45-54,0.45,0.57,0.09,smaller spenders
2002,USA,Other,Air,4-7 nights,45-54,0.46,4.03,0.16,smaller spenders
2002,USA,Other,Air,8-14 nights,16-24,0.37,0.93,0.12,smaller spenders
2002,USA,Other,Air,8-14 nights,55-64,0.27,1.18,0.15,smaller spenders
2002,USA,Other,Air,15+ nights,65+,0.51,1.9,0.1,smaller spenders
2002,USA,Other,Tunnel,4-7 nights,35-44,0.45,1.81,0.28,smaller spenders
2002,USA,Holiday,Air,1-3 nights,0-15,1.93,4.11,0.43,smaller spenders
2002,USA,Holiday,Air,1-3 nights,16-24,0.33,1.05,0.08,smaller spenders
2002,USA,Holiday,Air,1-3 nights,35-44,1.77,1.88,0.23,smaller spenders
2002,USA,Holiday,Air,1-3 nights,45-54,4.19,4.45,0.93,smaller spenders
2002,USA,Holiday,Air,1-3 nights,55-64,1.44,1.53,0.18,smaller spenders
2002,USA,Holiday,Air,1-3 nights,65+,0.64,1.62,0.29,smaller spenders
2002,USA,Holiday,Air,4-7 nights,16-24,0.33,1.42,0.1,smaller spenders
2002,USA,Holiday,Air,4-7 nights,25-34,3.42,21.89,5.77,medium spenders
2002,USA,Holiday,Air,4-7 nights,35-44,8.23,42.32,4.7,medium spenders
2002,USA,Holiday,Air,4-7 nights,45-54,2.72,12.09,0.91,smaller spenders
2002,USA,Holiday,Air,4-7 nights,55-64,2.91,16.94,5.43,medium spenders
2002,USA,Holiday,Air,4-7 nights,65+,3.2,12.82,1.97,smaller spenders
2002,USA,Holiday,Air,8-14 nights,0-15,2.53,17.33,1.11,smaller spenders
2002,USA,Holiday,Air,8-14 nights,16-24,5.83,40,3.89,medium spenders
2002,USA,Holiday,Air,8-14 nights,25-34,8.1,56.73,8.14,medium spenders
2002,USA,Holiday,Air,8-14 nights,35-44,3.74,37.68,2.18,smaller spenders
2002,USA,Holiday,Air,8-14 nights,45-54,8.84,63.66,8.9,medium spenders
2002,USA,Holiday,Air,8-14 nights,55-64,13.15,83.71,11.1,medium spenders
2002,USA,Holiday,Air,8-14 nights,65+,12.7,73.6,8.13,medium spenders
2002,USA,Holiday,Air,15+ nights,0-15,1.39,10.29,0.65,smaller spenders
2002,USA,Holiday,Air,15+ nights,16-24,2.27,74.79,0.85,smaller spenders
2002,USA,Holiday,Air,15+ nights,25-34,0.88,6.76,0.22,smaller spenders
2002,USA,Holiday,Air,15+ nights,35-44,0.95,3.07,0.14,smaller spenders
2002,USA,Holiday,Air,15+ nights,45-54,8.13,115.84,9.92,medium spenders
2002,USA,Holiday,Air,15+ nights,55-64,4.74,119.81,5.74,medium spenders
2002,USA,Holiday,Air,15+ nights,65+,3.46,18.29,1.09,smaller spenders
2002,USA,Holiday,Sea,4-7 nights,55-64,1.24,2.46,0.25,smaller spenders
2002,USA,Holiday,Sea,8-14 nights,16-24,0.02,0.19,0.06,smaller spenders
2002,USA,Holiday,Sea,8-14 nights,55-64,1.21,3.62,0.02,smaller spenders
2002,USA,Holiday,Sea,15+ nights,65+,1.26,6.29,0.19,smaller spenders
2002,USA,Holiday,Tunnel,4-7 nights,16-24,0.5,0.49,0.02,smaller spenders
2002,USA,Holiday,Tunnel,8-14 nights,0-15,0.5,3.93,0.96,smaller spenders
2002,USA,Holiday,Tunnel,15+ nights,16-24,0.5,0.55,0.01,smaller spenders
2002,USA,Holiday,Tunnel,15+ nights,65+,0.5,8.85,0.39,smaller spenders
2002,USA,Business,Air,1-3 nights,25-34,1.85,3.74,0.4,smaller spenders
2002,USA,Business,Air,1-3 nights,35-44,1.61,4.55,1.02,smaller spenders
2002,USA,Business,Air,1-3 nights,45-54,1.4,2.89,1.49,smaller spenders
2002,USA,Business,Air,4-7 nights,35-44,1.58,6.17,1.11,smaller spenders
2002,USA,Business,Air,4-7 nights,45-54,3.39,17.1,2.75,smaller spenders
2002,USA,Business,Air,4-7 nights,55-64,0.91,4.88,1.06,smaller spenders
2002,USA,Business,Air,8-14 nights,35-44,2.03,16.11,3.96,smaller spenders
2002,USA,Business,Air,8-14 nights,45-54,1.1,5.42,0.48,smaller spenders
2002,USA,Business,Air,8-14 nights,55-64,0.32,0.64,0.08,smaller spenders
2002,USA,Business,Air,15+ nights,25-34,0.52,7.49,0.16,smaller spenders
2002,USA,Business,Air,15+ nights,45-54,1.85,29.93,1.91,smaller spenders
2002,USA,VFR,Air,1-3 nights,55-64,0.33,0.33,0.03,smaller spenders
2002,USA,VFR,Air,4-7 nights,25-34,0.33,0.66,0.02,smaller spenders
2002,USA,VFR,Air,4-7 nights,35-44,0.33,1,0.16,smaller spenders
2002,USA,VFR,Air,4-7 nights,45-54,0.21,0.64,0.07,smaller spenders
2002,USA,VFR,Air,8-14 nights,25-34,1.23,10.14,0.55,smaller spenders
2002,USA,VFR,Air,8-14 nights,35-44,3.82,38.45,1.8,smaller spenders
2002,USA,VFR,Air,8-14 nights,45-54,2.76,22.19,1.88,smaller spenders
2002,USA,VFR,Air,8-14 nights,55-64,0.54,6.83,0.17,smaller spenders
2002,USA,VFR,Air,8-14 nights,65+,2.22,18.13,0.76,smaller spenders
2002,USA,VFR,Air,15+ nights,16-24,1.03,1.06,0.08,smaller spenders
2002,USA,VFR,Air,15+ nights,25-34,0.58,2.37,0.04,smaller spenders
2002,USA,VFR,Air,15+ nights,35-44,3.55,64.87,2.33,smaller spenders
2002,USA,VFR,Air,15+ nights,45-54,6.66,178.12,11.54,medium spenders
2002,USA,VFR,Air,15+ nights,55-64,0.63,6.92,0.63,smaller spenders
2002,USA,VFR,Air,15+ nights,65+,2.42,30.75,1.39,smaller spenders
2002,USA,VFR,Sea,15+ nights,45-54,0.02,0.43,0.09,smaller spenders
2002,USA,VFR,Tunnel,8-14 nights,16-24,0.48,4.81,0.02,smaller spenders
2002,USA,VFR,Tunnel,8-14 nights,25-34,0.48,2.41,0.09,smaller spenders
2002,USA,Study,Air,15+ nights,16-24,0.68,0.72,0.07,smaller spenders
2002,USA,Study,Air,15+ nights,25-34,0.21,0.66,0.06,smaller spenders
2002,USA,Other,Air,4-7 nights,25-34,0.33,1.64,0,smaller spenders
2002,USA,Other,Air,4-7 nights,35-44,0.32,1.29,1.95,smaller spenders
2002,USA,Other,Air,4-7 nights,45-54,0.51,2.07,0.32,smaller spenders
2002,USA,Other,Air,4-7 nights,55-64,1.59,9.79,0.46,smaller spenders
2002,USA,Other,Air,8-14 nights,25-34,0.53,3.91,0.43,smaller spenders
2002,USA,Other,Air,8-14 nights,35-44,1.89,13.63,1.4,smaller spenders
2002,USA,Other,Air,8-14 nights,45-54,0.35,2.08,0.04,smaller spenders
2002,USA,Other,Air,8-14 nights,55-64,0.32,3.22,0.36,smaller spenders
2002,USA,Other,Air,15+ nights,16-24,0.39,8.68,0.06,smaller spenders
2002,USA,Other,Air,15+ nights,45-54,0.32,3.54,0.04,smaller spenders
2002,USA,Holiday,Air,4-7 nights,16-24,0.53,3.18,0.17,smaller spenders
2002,USA,Holiday,Air,4-7 nights,25-34,2.4,11.31,0.63,smaller spenders
2002,USA,Holiday,Air,4-7 nights,35-44,4.08,16.88,1.68,smaller spenders
2002,USA,Holiday,Air,4-7 nights,45-54,0.55,3.11,0.3,smaller spenders
2002,USA,Holiday,Air,4-7 nights,55-64,1.32,3.51,0.28,smaller spenders
2002,USA,Holiday,Air,4-7 nights,65+,0.5,2.77,0.5,smaller spenders
2002,USA,Holiday,Air,8-14 nights,16-24,0.3,3.25,0.9,smaller spenders
2002,USA,Holiday,Air,8-14 nights,25-34,1.69,11.88,0.29,smaller spenders
2002,USA,Holiday,Air,8-14 nights,35-44,2.04,13.55,1.4,smaller spenders
2002,USA,Holiday,Air,8-14 nights,45-54,1.49,8.12,0.67,smaller spenders
2002,USA,Holiday,Air,8-14 nights,55-64,6.49,38.31,2.69,medium spenders
2002,USA,Holiday,Air,8-14 nights,65+,3.08,9.13,0.67,smaller spenders
2002,USA,Holiday,Air,15+ nights,25-34,0.3,0.59,0.05,smaller spenders
2002,USA,Holiday,Air,15+ nights,35-44,0.39,7.09,0.23,smaller spenders
2002,USA,Holiday,Air,15+ nights,45-54,0.8,5.32,0.38,smaller spenders
2002,USA,Holiday,Air,15+ nights,55-64,0.88,5.45,0.15,smaller spenders
2002,USA,Holiday,Air,15+ nights,65+,1.5,9.49,0.53,smaller spenders
2002,USA,Holiday,Sea,1-3 nights,35-44,2.18,2.2,0.45,smaller spenders
2002,USA,Holiday,Sea,8-14 nights,45-54,0.07,0.17,0.02,smaller spenders
2002,USA,Holiday,Tunnel,8-14 nights,25-34,0.16,0.55,0.05,smaller spenders
2002,USA,Business,Air,1-3 nights,45-54,4.03,7.63,0.91,smaller spenders
